display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005028,landsat_tm_c2_l1
LT05_L1TP_141040_19960120_20200911_02_T1,141,40,5,3,1996-01-20,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004019,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524006033,landsat_tm_c2_l1
LT05_L1TP_142041_19960127_20200911_02_T1,142,41,5,9,1996-01-27,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19960120_20200911_02_T1,141,41,5,8,1996-01-20,524006035,landsat_tm_c2_l1
