display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005028,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005028,landsat_tm_c2_l1
LT05_L1TP_141040_19960527_20200911_02_T1,141,40,5,12,1996-05-27,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005029,landsat_tm_c2_l1
LT05_L1TP_141040_19960511_20200911_02_T1,141,40,5,11,1996-05-11,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004017,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524004017,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004017,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524004017,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004022,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004022,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004018,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524004018,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004018,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524004018,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004021,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004021,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004019,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004019,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524004020,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524004020,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524006033,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524006033,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524006031,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524006031,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524006034,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524006034,landsat_tm_c2_l1
LT05_L1TP_141041_19960527_20200911_02_T1,141,41,5,30,1996-05-27,524006032,landsat_tm_c2_l1
LT05_L1TP_141041_19960511_20200911_02_T1,141,41,5,21,1996-05-11,524006032,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002010,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002010,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002007,landsat_tm_c2_l1
LT05_L1TP_139041_19960513_20200911_02_T1,139,41,5,11,1996-05-13,524002007,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002007,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002005,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524002005,landsat_tm_c2_l1
LT05_L1TP_139042_19960513_20200911_02_T1,139,42,5,26,1996-05-13,524002005,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002005,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524002005,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002009,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002009,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002006,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524002006,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002006,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524002006,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524002008,landsat_tm_c2_l1
LT05_L1TP_139041_19960513_20200911_02_T1,139,41,5,11,1996-05-13,524002008,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524002008,landsat_tm_c2_l1
LT05_L1TP_139041_19960513_20200911_02_T1,139,41,5,11,1996-05-13,524001003,landsat_tm_c2_l1
LT05_L1TP_139042_19960513_20200911_02_T1,139,42,5,26,1996-05-13,524001004,landsat_tm_c2_l1
LT05_L1TP_139041_19960513_20200911_02_T1,139,41,5,11,1996-05-13,524001002,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524001001,landsat_tm_c2_l1
LT05_L1TP_139041_19960513_20200911_02_T1,139,41,5,11,1996-05-13,524001001,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524001001,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524003013,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524003013,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524003012,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524003012,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524003015,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524003015,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524003016,landsat_tm_c2_l1
LT05_L1TP_140042_19960520_20200911_02_T1,140,42,5,31,1996-05-20,524003016,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524003016,landsat_tm_c2_l1
LT05_L1TP_140042_19960504_20200911_02_T1,140,42,5,42,1996-05-04,524003016,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524003011,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524003011,landsat_tm_c2_l1
LT05_L1TP_140041_19960520_20200911_02_T1,140,41,5,21,1996-05-20,524003014,landsat_tm_c2_l1
LT05_L1TP_140041_19960504_20200911_02_T1,140,41,5,29,1996-05-04,524003014,landsat_tm_c2_l1
