display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141040_19960916_20200911_02_T1,141,40,5,45,1996-09-16,524005029,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524004017,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524004018,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524002005,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524002006,landsat_tm_c2_l1
LT05_L1TP_139041_19960918_20200911_02_T1,139,41,5,27,1996-09-18,524002008,landsat_tm_c2_l1
LT05_L1TP_139041_19960918_20200911_02_T1,139,41,5,27,1996-09-18,524001003,landsat_tm_c2_l1
LT05_L1TP_139041_19960918_20200911_02_T1,139,41,5,27,1996-09-18,524001002,landsat_tm_c2_l1
LT05_L1TP_139041_19960918_20200911_02_T1,139,41,5,27,1996-09-18,524001001,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524003015,landsat_tm_c2_l1
LT05_L1GS_140042_19960925_20200911_02_T2,140,42,5,45,1996-09-25,524003016,landsat_tm_c2_l1
LT05_L1TP_145039_19960928_20200911_02_T1,145,39,5,7,1996-09-28,524014074,landsat_tm_c2_l1
LT05_L1TP_145040_19960928_20200911_02_T1,145,40,5,21,1996-09-28,524014074,landsat_tm_c2_l1
LT05_L1TP_144040_19960921_20200911_02_T1,144,40,5,4,1996-09-21,524014074,landsat_tm_c2_l1
LT05_L1TP_145039_19960912_20200911_02_T1,145,39,5,25,1996-09-12,524014074,landsat_tm_c2_l1
LT05_L1TP_145040_19960912_20200911_02_T1,145,40,5,33,1996-09-12,524014074,landsat_tm_c2_l1
LT05_L1TP_145040_19960928_20200911_02_T1,145,40,5,21,1996-09-28,524014073,landsat_tm_c2_l1
LT05_L1TP_144040_19960921_20200911_02_T1,144,40,5,4,1996-09-21,524014073,landsat_tm_c2_l1
LT05_L1TP_145040_19960912_20200911_02_T1,145,40,5,33,1996-09-12,524014073,landsat_tm_c2_l1
LT05_L1TP_145039_19960928_20200911_02_T1,145,39,5,7,1996-09-28,524014075,landsat_tm_c2_l1
LT05_L1TP_144039_19960921_20200911_02_T1,144,39,5,33,1996-09-21,524014075,landsat_tm_c2_l1
LT05_L1TP_145039_19960912_20200911_02_T1,145,39,5,25,1996-09-12,524014075,landsat_tm_c2_l1
LT05_L1TP_145040_19960928_20200911_02_T1,145,40,5,21,1996-09-28,524014072,landsat_tm_c2_l1
LT05_L1TP_144040_19960921_20200911_02_T1,144,40,5,4,1996-09-21,524014072,landsat_tm_c2_l1
LT05_L1TP_145040_19960912_20200911_02_T1,145,40,5,33,1996-09-12,524014072,landsat_tm_c2_l1
LT05_L1TP_144040_19960921_20200911_02_T1,144,40,5,4,1996-09-21,524013069,landsat_tm_c2_l1
LT05_L1TP_144039_19960921_20200911_02_T1,144,39,5,33,1996-09-21,524013068,landsat_tm_c2_l1
LT05_L1TP_144039_19960921_20200911_02_T1,144,39,5,33,1996-09-21,524013067,landsat_tm_c2_l1
LT05_L1TP_144040_19960921_20200911_02_T1,144,40,5,4,1996-09-21,524013067,landsat_tm_c2_l1
