display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005028,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005028,landsat_tm_c2_l1
LT05_L1TP_141040_19960324_20200912_02_T1,141,40,5,41,1996-03-24,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005029,landsat_tm_c2_l1
LT05_L1TP_141040_19960308_20200911_02_T1,141,40,5,23,1996-03-08,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960324_20200911_02_T1,141,41,5,7,1996-03-24,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960308_20200911_02_T1,141,41,5,10,1996-03-08,524004017,landsat_tm_c2_l1
