display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005028,landsat_tm_c2_l1
LT05_L1TP_141040_19961018_20200911_02_T1,141,40,5,4,1996-10-18,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005029,landsat_tm_c2_l1
LT05_L1TP_141040_19961002_20200911_02_T1,141,40,5,49,1996-10-02,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524005023,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524004017,landsat_tm_c2_l1
LT05_L1TP_140042_19961027_20200911_02_T1,140,42,5,4,1996-10-27,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004017,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524004017,landsat_tm_c2_l1
LT05_L1TP_140042_19961011_20200911_02_T1,140,42,5,10,1996-10-11,524004017,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004022,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524004022,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524004018,landsat_tm_c2_l1
LT05_L1TP_140042_19961027_20200911_02_T1,140,42,5,4,1996-10-27,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004018,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524004018,landsat_tm_c2_l1
LT05_L1TP_140042_19961011_20200911_02_T1,140,42,5,10,1996-10-11,524004018,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004021,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004019,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524004020,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524006033,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524006035,landsat_tm_c2_l1
LT05_L1TP_142041_19961009_20200911_02_T1,142,41,5,9,1996-10-09,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524006031,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524006034,landsat_tm_c2_l1
LT05_L1TP_141041_19961018_20200911_02_T1,141,41,5,3,1996-10-18,524006032,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002010,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524002010,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002007,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524002007,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002005,landsat_tm_c2_l1
LT05_L1TP_140042_19961027_20200911_02_T1,140,42,5,4,1996-10-27,524002005,landsat_tm_c2_l1
LT05_L1TP_139042_19961020_20200911_02_T1,139,42,5,0,1996-10-20,524002005,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524002005,landsat_tm_c2_l1
LT05_L1TP_140042_19961011_20200911_02_T1,140,42,5,10,1996-10-11,524002005,landsat_tm_c2_l1
LT05_L1TP_139042_19961004_20200911_02_T1,139,42,5,21,1996-10-04,524002005,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002009,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524002009,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002006,landsat_tm_c2_l1
LT05_L1TP_140042_19961027_20200911_02_T1,140,42,5,4,1996-10-27,524002006,landsat_tm_c2_l1
LT05_L1TP_140041_19961011_20200911_02_T1,140,41,5,26,1996-10-11,524002006,landsat_tm_c2_l1
LT05_L1TP_140042_19961011_20200911_02_T1,140,42,5,10,1996-10-11,524002006,landsat_tm_c2_l1
LT05_L1TP_140041_19961027_20200911_02_T1,140,41,5,28,1996-10-27,524002008,landsat_tm_c2_l1
