display_id,wrs_path,wrs_row,satellite,cloud_cover,acquisition_date,shapeID,ic
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005026,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005030,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005027,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005024,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005025,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005028,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005028,landsat_tm_c2_l1
LT05_L1TP_141040_19960221_20200911_02_T1,141,40,5,7,1996-02-21,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005029,landsat_tm_c2_l1
LT05_L1TP_141040_19960205_20200911_02_T1,141,40,5,2,1996-02-05,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005029,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524005023,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004017,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004022,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004018,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004021,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004019,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004019,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524004020,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524006033,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524006033,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524006035,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524006031,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524006031,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524006034,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524006034,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524006032,landsat_tm_c2_l1
LT05_L1TP_141041_19960205_20200911_02_T1,141,41,5,4,1996-02-05,524006032,landsat_tm_c2_l1
LT05_L1TP_139041_19960223_20200912_02_T1,139,41,5,8,1996-02-23,524002007,landsat_tm_c2_l1
LT05_L1TP_139042_19960223_20200911_02_T1,139,42,5,0,1996-02-23,524002005,landsat_tm_c2_l1
LT05_L1TP_139042_19960207_20200911_02_T1,139,42,5,10,1996-02-07,524002005,landsat_tm_c2_l1
LT05_L1TP_139041_19960223_20200912_02_T1,139,41,5,8,1996-02-23,524002008,landsat_tm_c2_l1
LT05_L1TP_139041_19960207_20200911_02_T1,139,41,5,15,1996-02-07,524002008,landsat_tm_c2_l1
LT05_L1TP_139041_19960223_20200912_02_T1,139,41,5,8,1996-02-23,524001003,landsat_tm_c2_l1
LT05_L1TP_139041_19960207_20200911_02_T1,139,41,5,15,1996-02-07,524001003,landsat_tm_c2_l1
LT05_L1TP_139042_19960223_20200911_02_T1,139,42,5,0,1996-02-23,524001004,landsat_tm_c2_l1
LT05_L1TP_139042_19960207_20200911_02_T1,139,42,5,10,1996-02-07,524001004,landsat_tm_c2_l1
LT05_L1TP_139041_19960223_20200912_02_T1,139,41,5,8,1996-02-23,524001002,landsat_tm_c2_l1
LT05_L1TP_139041_19960207_20200911_02_T1,139,41,5,15,1996-02-07,524001002,landsat_tm_c2_l1
LT05_L1TP_139041_19960223_20200912_02_T1,139,41,5,8,1996-02-23,524001001,landsat_tm_c2_l1
LT05_L1TP_139041_19960207_20200911_02_T1,139,41,5,15,1996-02-07,524001001,landsat_tm_c2_l1
LT05_L1TP_143041_19960203_20200911_02_T1,143,41,5,1,1996-02-03,524011057,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524011060,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524011061,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524011059,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524012062,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524012063,landsat_tm_c2_l1
LT05_L1TP_143039_19960203_20200911_02_T1,143,39,5,4,1996-02-03,524012065,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524012065,landsat_tm_c2_l1
LT05_L1TP_143041_19960203_20200911_02_T1,143,41,5,1,1996-02-03,524010056,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524010052,landsat_tm_c2_l1
LT05_L1TP_143041_19960203_20200911_02_T1,143,41,5,1,1996-02-03,524010052,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524010053,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524010054,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524010055,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524008045,landsat_tm_c2_l1
LT05_L1TP_141040_19960221_20200911_02_T1,141,40,5,7,1996-02-21,524007036,landsat_tm_c2_l1
LT05_L1TP_141041_19960221_20200912_02_T1,141,41,5,11,1996-02-21,524007036,landsat_tm_c2_l1
LT05_L1TP_141040_19960205_20200911_02_T1,141,40,5,2,1996-02-05,524007036,landsat_tm_c2_l1
LT05_L1TP_143041_19960203_20200911_02_T1,143,41,5,1,1996-02-03,524009051,landsat_tm_c2_l1
LT05_L1TP_143040_19960203_20200911_02_T1,143,40,5,10,1996-02-03,524009046,landsat_tm_c2_l1
LT05_L1TP_143041_19960203_20200911_02_T1,143,41,5,1,1996-02-03,524009050,landsat_tm_c2_l1
