country,iso,year
Brazil,BRA,2010
Ecuador,ECU,2001
Ecuador,ECU,2010
El Salvador,SLV,2007
Malawi,MWI,2008
Mexico,MEX,2010
Nepal,NPL,2001
Senegal,SEN,2002
Panama,PAN,2010
